ID_Emplacement;Adresse;Code postal;Commune;Code departement
4796;84 GEORGE SAND;28300;LEVES;28
4797;1320 DES ECUYERS;28000;CHARTRES;28
4798;1040 DE LA COURONNE;28000;CHARTRES;28
4799;193 DES PETITS SAULTS;28300;GASVILLE OISEME;28
4800;115 DE LA FERTE;28130;MAINTENON;28
4801;2540 NICOCHET;28000;CHARTRES;28
4802;760 CHAUVEAU LAGARDE;28000;CHARTRES;28
4803;300 PIERRE DE COUBERTIN;28300;MAINVILLIERS;28
4804;380 DE LA REPUBLIQUE;28110;LUCE;28
4805;1975 JEAN DE DUNOIS;28000;CHARTRES;28
4806;370 RENE LANGLOIS;28110;LUCE;28
4807;450 SAINT DENIS;28230;EPERNON;28
4808;1170 DANIELE CASANOVA;28000;CHARTRES;28
4809;45 DU CROC SALE;28320;GALLARDON;28
4810;3375 DE LA RESIDENCE FLEURIE;28000;CHARTRES;28
4811;3775 SALVADOR ALLENDE;28000;CHARTRES;28
4812;1975 JEAN DE DUNOIS;28000;CHARTRES;28
4813;60 DE LA LIBERATION;28130;CHARTAINVILLIERS;28
4814;380 DE LA REPUBLIQUE;28110;LUCE;28
4815;330 DE LA REPUBLIQUE;28300;MAINVILLIERS;28
4816;1780 GUYNEMER;28000;CHARTRES;28
4817;720 CHARLES VICTOR GAROLA;28000;CHARTRES;28
4818;3710 SAINT PIERRE;28000;CHARTRES;28
4819;450 SAINT DENIS;28230;EPERNON;28
4820;390 DU PRIEURE ST THOMAS;28230;EPERNON;28
4821;1440 DU FAUBOURG GUILLAUME;28000;CHARTRES;28
4822;172 DE LA REPUBLIQUE;28300;ST PREST;28
4823;96 SAINT GILLES;28320;GAS;28
4824;110 DU FAUBOURG LARUE;28130;MAINTENON;28
4825;3710 SAINT PIERRE;28000;CHARTRES;28
4826;2520 MURET;28000;CHARTRES;28
4827;3670 SAINT MICHEL;28000;CHARTRES;28
4828;45 DU CROC SALE;28320;GALLARDON;28
4829;325 DE L OISEAU DE FEU;28110;LUCE;28
4830;390 DU PRIEURE ST THOMAS;28230;EPERNON;28
4831;3840 DE SOURS;28000;CHARTRES;28
4832;325 DE L OISEAU DE FEU;28110;LUCE;28
4833;660 DES CHANGES;28000;CHARTRES;28
4834;1440 DU FAUBOURG GUILLAUME;28000;CHARTRES;28
4835;2869 DES PETITS CLOS;28000;CHARTRES;28
4836;185 PASTEUR;28700;AUNEAU-BLEURY-SAINT-SYMPHORIEN;28
4837;2550 NICOLE;28000;CHARTRES;28
4838;3510 SAINT BRICE;28000;CHARTRES;28
4839;130 FRANCOIS FOREAU;28110;LUCE;28
4840;2740 PERRAULT;28000;CHARTRES;28
4841;1273 DU DOCTEUR MICHEL GIBERT;28000;CHARTRES;28
4842;3775 SALVADOR ALLENDE;28000;CHARTRES;28
4843;291 DES TERRES DOUCES;28600;LUISANT;28
4844;1770 GUY MOQUET;28000;CHARTRES;28
4845;1600 GABRIEL LELONG;28000;CHARTRES;28
4846;2520 MURET;28000;CHARTRES;28
4847;220 DU GRAND PONT;28230;EPERNON;28
4848;200 DU GENERAL LECLERC;28230;EPERNON;28
4849;35 CARNOT;28700;AUNEAU-BLEURY-SAINT-SYMPHORIEN;28
4850;2310 DES MARAIS;28000;CHARTRES;28
4851;4070 VICTOR GILBERT;28000;CHARTRES;28
4852;5 DU BARON ROUILLARD DE BEAU;28630;LE COUDRAY;28
4853;370 BILLARD;28000;CHARTRES;28
4854;300 PIERRE DE COUBERTIN;28300;MAINVILLIERS;28
4855;330 DE LA REPUBLIQUE;28300;MAINVILLIERS;28
4856;116 JEAN MONNET;28300;MAINVILLIERS;28
4857;290 DE LA MADELEINE;28230;EPERNON;28
4858;2310 DES MARAIS;28000;CHARTRES;28
4859;1410 DE L ETROIT DEGRE;28000;CHARTRES;28
4860;1670 DU GRAND FAUBOURG;28000;CHARTRES;28
4861;370 RENE LANGLOIS;28110;LUCE;28
4862;460 DU BOURG;28000;CHARTRES;28
4863;1440 DU FAUBOURG GUILLAUME;28000;CHARTRES;28
4864;190 GEORGES VARLET;28110;LUCE;28
4865;3090 DE LA PORTE CENDREUSE;28000;CHARTRES;28
4866;84 DE L'EUROPE;28630;LE COUDRAY;28
4867;154 DE LA PAIX;28300;LEVES;28
4868;2800 DU PETIT CHANGE;28000;CHARTRES;28
4869;38 DU CHEMIN NEUF;28130;HANCHES;28
4870;165 NATIONALE;28310;TOURY;28
4871;4170 VOLTAIRE;28000;CHARTRES;28
4872;3480 SAINT ANDRE;28000;CHARTRES;28
4873;1440 DU FAUBOURG GUILLAUME;28000;CHARTRES;28
4874;230 AVEDAM;28000;CHARTRES;28
4875;370 RENE LANGLOIS;28110;LUCE;28
4876;87 DES HAUTS DE L'EURE;28300;JOUY;28
4877;2105 JULES HETZEL;28000;CHARTRES;28
4878;165 NATIONALE;28310;TOURY;28
4879;85 EMILE LABICHE;28700;AUNEAU-BLEURY-SAINT-SYMPHORIEN;28
4880;105 DES FUSILLES LA RESISTANCE;28190;COURVILLE SUR EURE;28
4881;4140 DE VILLAINES;28000;CHARTRES;28
4882;3090 DE LA PORTE CENDREUSE;28000;CHARTRES;28
4883;200 DU GENERAL LECLERC;28230;EPERNON;28
4884;550 DU CARDINAL PIE;28000;CHARTRES;28
4885;2105 JULES HETZEL;28000;CHARTRES;28
4886;3120 DE LA PORTE MORARD;28000;CHARTRES;28
4887;0 GRANDE RUE D EQUILLEMONT;28700;AUNEAU-BLEURY-SAINT-SYMPHORIEN;28
4888;990 DES COMTESSES;28000;CHARTRES;28
4889;2623 OLIVIER DE SERRES;28000;CHARTRES;28
4890;3610 SAINT JULIEN;28000;CHARTRES;28
4891;930 DU MARECHAL LYAUTEY;28200;CHATEAUDUN;28
4892;1255 DE SCHWEINFURT;28200;CHATEAUDUN;28
4893;870 DE LA MADELEINE;28200;CHATEAUDUN;28
4894;179 NATIONALE;28200;ST DENIS-LANNERAY;28
4895;1150 DE LA REPUBLIQUE;28200;CHATEAUDUN;28
4896;1290 TOUTAIN;28200;CHATEAUDUN;28
4897;750 KELLERMANN;28200;CHATEAUDUN;28
4898;1255 DE SCHWEINFURT;28200;CHATEAUDUN;28
4899;870 DE LA MADELEINE;28200;CHATEAUDUN;28
4900;984 DU GENERAL LECLERC;28100;DREUX;28
4901;760 DES FENOTS;28100;DREUX;28
4902;1680 DU MUSEE;28100;DREUX;28
4903;1830 PARISIS;28100;DREUX;28
4904;1295 RESIDENCE LA FORET;28500;VERNOUILLET;28
4905;2090 DE LA SABLONNIERE;28100;DREUX;28
4906;2300 DE VERNOUILLET;28100;DREUX;28
4907;1130 GROMARD;28100;DREUX;28
4908;1960 PORTE CHARTRAINE;28100;DREUX;28
4909;210 DE VACHERESSES;28210;LORMAYE;28
4910;510 DE CRECY;28500;VERNOUILLET;28
4911;110 DE PROVENCE;28210;NOGENT-LE-ROI;28
4912;551 FOCH;28260;ANET;28
4913;1050 GODEAU;28100;DREUX;28
4914;29 DU CARREFOUR;28210;CHAUDON;28
4915;2180 SAINT THIBAULT;28100;DREUX;28
4916;60 GEORGES CLOAREC;28350;ST LUBIN DES JONCHERETS;28
4917;95 JEAN MOULIN;28170;CHATEAUNEUF EN THYMERAIS;28
4918;1500 LOUIS PHILIPPE;28100;DREUX;28
4919;485 CONDORCET;28500;VERNOUILLET;28
4920;543 PORTE CHARTRAINE;28210;NOGENT-LE-ROI;28
4921;580 DU DR JOUSSELIN;28100;DREUX;28
4922;984 DU GENERAL LECLERC;28100;DREUX;28
4923;2090 DE LA SABLONNIERE;28100;DREUX;28
4924;485 CONDORCET;28500;VERNOUILLET;28
4925;1530 DES MAILLOTIERES;28100;DREUX;28
4926;131 DU ROUSSILLON;28210;NOGENT-LE-ROI;28
4927;402 DU GEN LECLERC;28380;ST REMY SUR AVRE;28
4928;696 WINSTON CHURCHILL;28380;ST REMY SUR AVRE;28
4929;356 DE LA GARE;28210;NOGENT-LE-ROI;28
4930;109 DE NORMANDIE;28210;NOGENT-LE-ROI;28
4931;190 DE VILLIERS;28210;COULOMBS;28
4932;519 DES PETITS SOULIERS;28210;NOGENT-LE-ROI;28
4933;1620 MESIRARD;28100;DREUX;28
4934;2300 DE VERNOUILLET;28100;DREUX;28
4935;2090 DE LA SABLONNIERE;28100;DREUX;28
4936;485 CONDORCET;28500;VERNOUILLET;28
4937;2090 DE LA SABLONNIERE;28100;DREUX;28
4938;510 DOULLAY;28400;NOGENT LE ROTROU;28
4939;0 COURONNET;28400;NOGENT LE ROTROU;28
4940;180 DES BOUCHERS;28400;NOGENT LE ROTROU;28
4941;1070 DU MARECHAL FOCH;28400;NOGENT LE ROTROU;28
4942;1720 DES GLENAN;29000;QUIMPER;29
4943;5182 DE LA PLEIADE;29000;QUIMPER;29
4944;5185 DU POHER;29000;QUIMPER;29
4945;960 DES PROFESSEURS CURIE;29100;DOUARNENEZ;29
4946;6120 DES SEPT ILES;29000;QUIMPER;29
4947;2050 JACQUELINE DOMERGUE;29000;QUIMPER;29
4948;5360 DE LA PRAIRIE;29000;QUIMPER;29
4949;44 ANDRE EVEN;29300;QUIMPERLE;29
4950;2964 DE QUIMPER;29900;CONCARNEAU;29
4951;2070 THIERS;29300;QUIMPERLE;29
4952;830 FREDERIC LE GUYADER;29900;CONCARNEAU;29
4953;650 PAUL SERUSIER;29930;PONT-AVEN;29
4954;410 ELLE;29300;QUIMPERLE;29
4955;0 PIEROCEAN;29360;CLOHARS CARNOET;29
4956;190 BRIZEUX;29300;QUIMPERLE;29
4957;0 COTEAU DE KERAMPERCHEC;29930;PONT-AVEN;29
4958;860 DE LA GARE;29900;CONCARNEAU;29
4959;340 DU COUEDIC;29300;QUIMPERLE;29
4960;0 LE LOCMORAN;29360;CLOHARS CARNOET;29
4961;2255 DES MAGNOLIAS;29900;CONCARNEAU;29
4962;230 DES CASTORS;29300;QUIMPERLE;29
4963;410 ELLE;29300;QUIMPERLE;29
4964;50 ALAIN LE LAY;29900;CONCARNEAU;29
4965;3470 DE LYON;29200;BREST;29
4966;5110 DU VERCORS;29200;BREST;29
4967;3675 MASSILLON;29200;BREST;29
4968;1630 FAUTRAS;29200;BREST;29
4969;500 DES JARDINS;29290;SAINT RENAN;29
