ID_commune;Code postal;Commune;Code departement;ID_adresse
20086;83500;LA SEYNE SUR MER;83;20086
20087;83000;TOULON;83;20087
20088;83000;TOULON;83;20088
20089;83160;LA VALETTE DU VAR;83;20089
20090;83430;SAINT-MANDRIER-SUR-MER;83;20090
20091;83500;LA SEYNE SUR MER;83;20091
20092;83500;LA SEYNE SUR MER;83;20092
20093;83140;SIX-FOURS-LES-PLAGES;83;20093
20094;83100;TOULON;83;20094
20095;83500;LA SEYNE SUR MER;83;20095
20096;83130;LA GARDE;83;20096
20097;83000;TOULON;83;20097
20098;83140;SIX-FOURS-LES-PLAGES;83;20098
20099;83000;TOULON;83;20099
20100;83130;LA GARDE;83;20100
20101;83500;LA SEYNE SUR MER;83;20101
20102;83000;TOULON;83;20102
20103;83000;TOULON;83;20103
20104;83000;TOULON;83;20104
20105;83140;SIX-FOURS-LES-PLAGES;83;20105
20106;83140;SIX-FOURS-LES-PLAGES;83;20106
20107;83140;SIX-FOURS-LES-PLAGES;83;20107
20108;83160;LA VALETTE DU VAR;83;20108
20109;83220;LE PRADET;83;20109
20110;83130;LA GARDE;83;20110
20111;83200;TOULON;83;20111
20112;83000;TOULON;83;20112
20113;83500;LA SEYNE SUR MER;83;20113
20114;83500;LA SEYNE SUR MER;83;20114
20115;83500;LA SEYNE SUR MER;83;20115
20116;83140;SIX-FOURS-LES-PLAGES;83;20116
20117;83140;SIX-FOURS-LES-PLAGES;83;20117
20118;83200;TOULON;83;20118
20119;83140;SIX-FOURS-LES-PLAGES;83;20119
20120;83100;TOULON;83;20120
20121;83100;TOULON;83;20121
20122;83000;TOULON;83;20122
20123;83000;TOULON;83;20123
20124;83140;SIX-FOURS-LES-PLAGES;83;20124
20125;83160;LA VALETTE DU VAR;83;20125
20126;83130;LA GARDE;83;20126
20127;83500;LA SEYNE SUR MER;83;20127
20128;83100;TOULON;83;20128
20129;83430;SAINT-MANDRIER-SUR-MER;83;20129
20130;83500;LA SEYNE SUR MER;83;20130
20131;83000;TOULON;83;20131
20132;83140;SIX-FOURS-LES-PLAGES;83;20132
