ID_vente;Date mutation;Valeur fonciere;ID_bien
226;2020-01-10;290000;226
227;2020-02-04;57000;227
228;2020-01-31;274000;228
229;2020-02-06;39000;229
230;2020-02-18;102345;230
231;2020-02-07;63500;231
232;2020-02-04;181000;232
233;2020-02-13;125000;233
234;2020-02-13;59000;234
235;2020-02-17;63000;235
236;2020-02-05;90000;236
237;2020-01-31;110000;237
238;2020-02-12;81000;238
239;2020-02-19;67000;239
240;2020-02-18;30000;240
241;2020-02-03;79180;241
242;2020-03-03;55000;242
243;2020-02-14;97000;243
244;2020-03-10;44000;244
245;2020-03-10;82500;245
246;2020-03-02;230000;246
247;2020-02-27;13000;247
248;2020-04-20;103090;248
249;2020-04-23;95000;249
250;2020-05-15;36000;250
251;2020-03-10;100789;251
252;2020-03-02;76280;252
253;2020-05-06;65000;253
254;2020-05-29;151000;254
255;2020-05-14;134000;255
256;2020-05-25;56500;256
257;2020-06-05;47500;257
258;2020-06-04;44000;258
259;2020-05-16;41500;259
260;2020-05-27;95000;260
261;2020-05-28;87000;261
262;2020-06-10;53000;262
263;2020-06-30;36000;263
264;2020-06-05;70000;264
265;2020-06-18;169000;265
266;2020-06-09;148586;266
267;2020-06-10;140000;267
268;2020-06-25;45375;268
269;2020-01-24;55000;269
270;2020-02-07;290000;270
271;2020-03-11;110500;271
272;2020-06-10;67000;272
273;2020-06-08;43000;273
274;2020-01-21;111324;274
275;2020-01-03;164000;275
276;2020-01-07;131990;276
277;2020-01-15;74169;277
278;2020-01-16;106000;278
279;2020-03-16;135000;279
280;2020-02-28;59500;280
281;2020-03-17;108254;281
282;2020-05-06;45500;282
283;2020-05-19;55000;283
284;2020-06-18;41000;284
285;2020-05-16;172200;285
286;2020-05-25;100000;286
287;2020-05-15;96000;287
288;2020-05-25;153500;288
289;2020-05-20;35722.61;289
290;2020-06-09;26500;290
291;2020-01-04;84000;291
292;2020-01-03;71000;292
293;2020-01-10;38550;293
294;2020-01-21;118500;294
295;2020-01-06;196000;295
296;2020-01-11;48000;296
297;2020-01-03;43000;297
298;2020-01-21;29800;298
299;2020-01-20;175000;299
300;2020-01-22;34000;300
301;2020-01-17;40000;301
302;2020-01-15;42000;302
303;2020-01-21;39735;303
304;2020-01-29;105000;304
305;2020-01-14;128690;305
306;2020-01-23;113330;306
307;2020-01-16;300000;307
308;2020-01-20;77000;308
309;2020-01-29;75000;309
310;2020-01-03;33880;310
311;2020-01-20;42800;311
312;2020-02-07;64000;312
313;2020-01-31;105375;313
314;2020-01-30;40000;314
315;2020-02-04;61000;315
316;2020-02-10;44585;316
317;2020-01-24;67830;317
318;2020-01-23;71000;318
319;2020-02-07;43000;319
320;2020-02-05;75000;320
321;2020-01-31;113000;321
322;2020-02-13;52800;322
323;2020-02-14;57000;323
324;2020-02-14;37000;324
325;2020-01-27;51000;325
326;2020-02-04;115000;326
327;2020-01-31;160500;327
328;2020-02-07;62500;328
329;2020-02-14;52500;329
330;2020-01-30;66450.35;330
331;2020-01-31;47000;331
332;2020-02-12;150500;332
333;2020-02-12;201500;333
334;2020-01-27;24000;334
335;2020-02-21;270200;335
336;2020-01-29;128014.89;336
337;2020-02-13;90000;337
338;2020-02-25;68730;338
339;2020-02-17;19000;339
340;2020-02-22;44000;340
341;2020-02-04;37000;341
342;2020-02-08;67500;342
343;2020-02-13;76600;343
344;2020-02-06;52300;344
345;2020-02-19;40000;345
346;2020-02-11;80000;346
347;2020-02-12;62000;347
348;2020-02-21;146200;348
349;2020-02-14;61500;349
350;2020-02-07;88000;350
351;2020-02-26;77000;351
352;2020-02-29;63500;352
353;2020-02-25;58000;353
354;2020-02-26;230000;354
355;2020-02-24;135700;355
356;2020-02-27;76000;356
357;2020-02-14;61400;357
358;2020-02-27;44000;358
359;2020-02-17;69300;359
360;2020-02-14;41500;360
361;2020-02-21;230000;361
