ID_Emplacement;Adresse;Code_post;Commune;Code_dept
19485;D ELBEUF 3020;80000;AMIENS;80
19486;MARTIN BLEU DIEU 5560;80000;AMIENS;80
19487;DE LA VALLEE 245;80680;SAINT-FUSCIEN;80
19488;PHILIPPE DE COMMYNES 6362;80000;AMIENS;80
19489;DE VIGNACOURT 8240;80080;AMIENS;80
19490;DE L ENCLOS 162;80800;CORBIE;80
19491;LOUIS BLANC 5180;80000;AMIENS;80
19492;DU CANGE 1380;80000;AMIENS;80
19493;RAPHAEL 6717;80080;AMIENS;80
19494;GARIBALDI 3630;80000;AMIENS;80
19495;DE LA SIXIEME HEURE 7549;80000;AMIENS;80
19496;MONTESQUIEU 5860;80080;AMIENS;80
19497;SYLVIUS 7620;80000;AMIENS;80
19498;DE LA REPUBLIQUE 670;80450;CAMON;80
19499;BERNARD CUMINAL 937;80090;AMIENS;80
19500;DU MONSOREAU LE MONSOREAU 5824;80090;AMIENS;80
19501;DU DON 2730;80000;AMIENS;80
19502;DE LA VALLEE 245;80680;SAINT-FUSCIEN;80
19503;JULES FERRY 4640;80090;AMIENS;80
19504;AGRIPPA D AUBIGNE 115;80000;AMIENS;80
19505;DU MONSOREAU LE MONSOREAU 5824;80090;AMIENS;80
19506;ANDRE 450;80000;AMIENS;80
19507;CAPPERONNIER 1420;80000;AMIENS;80
19508;DE SLOVAQUIE 7552;80090;AMIENS;80
19509;JEAN FROISSART 3540;80000;AMIENS;80
19510;RAINFROY 500;80800;CORBIE;80
19511;DES JACOBINS 4360;80000;AMIENS;80
19512;JEANNE D ARC 4510;80000;AMIENS;80
19513;ANDRE 450;80000;AMIENS;80
19514;HENRI IV 4190;80000;AMIENS;80
19515;D ELBEUF 3020;80000;AMIENS;80
19516;MONT THOMAS 5868;80090;AMIENS;80
19517;SIRE FIRMIN LEROUX 7550;80000;AMIENS;80
19518;LAMARTINE 4750;80000;AMIENS;80
19519;RIOLAN 6900;80000;AMIENS;80
19520;DES PLATANES 514;80330;LONGUEAU;80
19521;DE VERDUN 8080;80000;AMIENS;80
19522;CAUDRON 1540;80000;AMIENS;80
19523;DE L HOTEL DE VILLE 4260;80000;AMIENS;80
19524;JEAN XXIII 4555;80000;AMIENS;80
19525;JEAN MARC LAURENT 4480;80090;AMIENS;80
19526;ROUSSEAU 7040;80090;AMIENS;80
19527;CHATEAUBRIAND 1715;80090;AMIENS;80
19528;JEAN FROISSART 3540;80000;AMIENS;80
19529;PASTEL 6179;80000;AMIENS;80
19530;EMILE DEBRIE 220;80450;CAMON;80
19531;DE L ABBAYE 20;80000;AMIENS;80
19532;DES NYMPHEAS 6044;80000;AMIENS;80
19533;JEAN XXIII 4555;80000;AMIENS;80
19534;DES ORFEVRES 6080;80000;AMIENS;80
19535;DES MESANGES 28;80160;PLACHY-BUYON;80
19536;DES JACOBINS 4360;80000;AMIENS;80
19537;GAULTHIER DE RUMILLY 3690;80000;AMIENS;80
19538;ENGUERRAND 3110;80090;AMIENS;80
19539;VAQUETTE 7960;80090;AMIENS;80
19540;JEANNE D ARC 4510;80000;AMIENS;80
19541;DES DEPORTES 2560;80000;AMIENS;80
19542;DUTHOIT 2900;80000;AMIENS;80
19543;LEON DUPONTREUE 4955;80080;AMIENS;80
19544;DU BATONNIER MAHIU 5285;80000;AMIENS;80
19545;DE LA PLAGE 520;80120;FORT-MAHON-PLAGE;80
19546;PLAINE DU ROYON 0;80120;FORT-MAHON-PLAGE;80
19547;DE LA PAIX 460;80120;FORT-MAHON-PLAGE;80
19548;DE MAYOCQ 638;80550;LE CROTOY;80
19549;DU GENERAL SIZAIRE 525;80410;CAYEUX-SUR-MER;80
19550;DU BOURG 140;80600;DOULLENS;80
19551;DE PARIS 1240;80120;QUEND;80
19552;FLORENTIN LEFILS 420;80550;LE CROTOY;80
19553;JULES NOIRET 565;80550;LE CROTOY;80
19554;JEAN JAURES 700;80130;FRIVILLE-ESCARBOTIN;80
19555;PAUL DOUMER 830;80410;CAYEUX-SUR-MER;80
19556;DU BOURG 140;80600;DOULLENS;80
19557;MARCEL VASSEUR 0;80120;QUEND;80
19558;LES MAISONS DE LA PLAGE 0;80120;QUEND;80
19559;MARCEL HOLLEVILLE 510;80350;MERS-LES-BAINS;80
19560;OREE DES PINS 0;80120;QUEND;80
19561;DE LA PLAGE 520;80120;FORT-MAHON-PLAGE;80
19562;DU 8 MAI 525;80550;LE CROTOY;80
19563;JEAN JAURES 700;80130;FRIVILLE-ESCARBOTIN;80
19564;GRANDE RUE 300;80460;AULT;80
19565;GRANDE RUE 300;80460;AULT;80
19566;OREE DES PINS 0;80120;QUEND;80
19567;GEORGES CLEMENCEAU 530;80410;CAYEUX-SUR-MER;80
19568;DU PHARE 830;80550;LE CROTOY;80
19569;DE ROUTEQUEUE 700;80600;DOULLENS;80
